time,x,y
4.225,7.6648,-10.339
4.23,7.5827,-10.321
4.235,7.7517,-10.275
4.24,7.5882,-10.274
4.245,7.7398,-10.263
4.25,7.7339,-10.263
4.255,7.6655,-10.414
4.26,7.6535,-10.379
4.265,7.5869,-10.163
4.27,7.5882,-10.28
4.275,7.6932,-10.28
4.28,7.7572,-10.257
4.285,7.6819,-10.309
4.29,7.724,-10.42
4.295,7.7836,-10.531
4.3,7.8476,-10.507
4.305,7.7288,-10.338
4.31,7.711,-10.303
4.315,7.7894,-10.542
4.32,7.8018,-10.583
4.325,7.7497,-10.641
4.33,7.7956,-10.565
4.335,7.8124,-10.495
4.34,7.7473,-10.403
4.345,7.8538,-10.531
4.35,7.8,-10.432
4.355,7.7004,-10.397
4.36,7.6847,-10.549
4.365,7.6604,-10.484
4.37,7.7175,-10.362
4.375,7.6077,-10.449
4.38,7.6771,-10.391
4.385,7.6361,-10.391
4.39,7.7134,-10.513
4.395,8.325,-10.379
4.4,9.4705,-10.339
4.405,10.464,-10.257
4.41,10.521,-10.158
4.415,10.942,-10.385
4.42,12.305,-10.607
4.425,13.412,-10.367
4.43,14.229,-10.234
4.435,15.066,-10.304
4.44,16.236,-10.415
4.445,17.025,-10.047
4.45,17.596,-9.9546
4.455,18.354,-10.198
4.46,18.481,-9.9423
4.465,18.556,-9.878
4.47,18.618,-10.047
4.475,18.759,-10.1
4.48,18.972,-10.036
4.485,18.766,-10.006
4.49,18.808,-9.9952
4.495,18.621,-9.9773
4.5,18.763,-10.082
4.505,18.614,-10.077
4.51,18.529,-10.076
4.515,18.81,-10.036
4.52,18.636,-10.042
4.525,18.842,-10.094
4.53,18.63,-9.9363
4.535,18.773,-10.018
4.54,18.723,-9.861
4.545,18.794,-9.9487
4.55,18.738,-9.9132
4.555,18.766,-9.9894
4.56,18.69,-9.902
4.565,18.554,-9.9658
4.57,18.65,-9.8149
4.575,18.595,-9.9425
4.58,18.615,-9.838
4.585,18.637,-9.9427
4.59,18.613,-9.8032
4.595,18.519,-9.8494
4.6,19.036,-10.117
4.605,20.17,-10.355
4.61,21.492,-10.28
4.615,22.456,-10.444
4.62,22.697,-10.176
4.625,23.13,-10.024
4.63,23.826,-10.222
4.635,23.971,-9.9773
4.64,24.039,-9.9774
4.645,24.018,-10.129
4.65,24.171,-10.21
4.655,24.389,-10.397
4.66,24.423,-10.432
4.665,24.411,-10.373
4.67,24.2,-10.426
4.675,24.376,-10.402
4.68,24.186,-10.344
4.685,24.217,-10.251
4.69,24.322,-10.49
4.695,24.287,-10.548
4.7,24.365,-10.403
4.705,24.316,-10.513
4.71,24.254,-10.234
4.715,24.252,-10.193
4.72,24.173,-10.228
4.725,24.177,-10.286
4.73,24.166,-10.32
4.735,24.213,-10.192
4.74,24.071,-10.088
4.745,24.182,-10.17
4.75,24.08,-10.036
4.755,24.248,-10.24
4.76,24.22,-10.105
4.765,24.067,-10.129
4.77,24.108,-10.071
4.775,24.082,-10.158
4.78,24.067,-10.035
4.785,24.164,-10.006
4.79,24.17,-10.094
4.795,24.241,-10.112
4.8,24.289,-10.286
4.805,24.226,-10.193
4.81,24.425,-10.21
4.815,24.25,-10.286
4.82,24.24,-10.013
4.825,24.173,-9.954
4.83,24.207,-9.9777
4.835,24.122,-9.9191
4.84,24.059,-9.8961
4.845,24.124,-10.042
4.85,24.198,-10.14
4.855,24.311,-10.246
4.86,24.216,-10.047
4.865,24.27,-10.1
4.87,24.217,-10.245
4.875,24.233,-10.122
4.88,24.815,-10.373
4.885,26.541,-10.432
4.89,27.647,-10.345
4.895,27.86,-10.152
4.9,28.635,-10.193
4.905,28.819,-10.28
4.91,29.128,-10.076
4.915,29.058,-9.9832
4.92,29.144,-10.018
4.925,29.248,-10.1
